ТЕХНИЧЕСКОЕ ЗАДАНИЕ - ТАБЛИЦА РЕСУРСОВ И ТРЕБОВАНИЙ
Мероприятие,Публичное мероприятие на главной площади г. Пермь
Дата,12 декабря 2026 г.
Время,12:00 - 18:00
Место,ул. Варнавского 15 г. Пермь
Участников,72 человека

МЕДИА-ГРУППА: ВИДЕОСЪЁМКА И ОБОРУДОВАНИЕ
Оборудование,Количество,Заметки,Статус
Видеокамера профессиональная (4K),2,Или Full HD альтернатива,
Штативы / стедикамы,2,Для стабилизации,
HDMI кабели,3,С резервой для заменн,
USB кабели,2,Архивирование видео,
SD/CF карты памяти,4,Минимум 64GB каждая,
Резервные батареи,6,AA и специальные,
Диск для архивации,2,Резервная копия,
Гимбал / стедикам видео,1,,

МЕДИА-ГРУППА: ФОТОСЪЁМКА
Наименование,Количество,Характеристики,Статус
Фотокамера DSLR/Mirrorless,2,24+ МП,
Объектив широкоугольный,1,14-24mm,
Объектив стандартный,1,50mm,
Объектив телефото,1,70-200mm,
Штативы,2,С быстросъёмными крепления,
Вспышки,2,Со студийными модификаторами,
Отражатели 5в1,2,110см каждый,
Кольцевая лампа,1,Для портретов,
Карты памяти SD,3,Минимум 64GB,
Резервные батареи,8,AA для вспышек,

МЕДИА-ГРУППА: АУДИОПРОИЗВОДСТВО
Устройство/оборудование,Количество,Параметры,Статус
Микрофон петличный,2,С радиочастотным передатчиком,
Микрофон стойка,1,Для сцены,
Микрофон ручной,1,Резервный,
Аудиомикшер,1,Минимум 8 каналов,
Наушники мониторные,1,Профессиональные,
Кабели XLR,5,Длины 10-20м,
Диктофон,1,Синхронная запись,
Резервные батареи,8,Для микрофонов и аксессуаров,
Ветрозащита,2,Поролон и меховой чехол,

ОПЕРАЦИОННАЯ ГРУППА: БЕЗОПАСНОСТЬ
Элемент безопасности,Количество,Описание,Статус
Охранники,6,Квалифицированная охрана,
Охранные посты,4,На ключевых местах,
Огнетушители,8,Распределены по периметру,
Аптечка первой помощи,2,Расширенная,
План эвакуации,1,Согласован с МЧС,
Огнетушители ОП-6,2,Для небольших очагов,
Доступ к туалету неотложной помощи,1,На месте или рядом,
Страховка от несчастного случая,1,На всех участников РПГ,

ОПЕРАЦИОННАЯ ГРУППА: ЭЛЕКТРО И ОСВЕЩЕНИЕ
Оборудование,Количество,Мощность/Параметры,Статус
Генератор основной,1,10-15 кВт,
Генератор резервный,1,5 кВт,
УПС (Источник бесперебойного питания),1,От 3 кВт,
Фильтр помех и кабельная разводка,1,С запасом 30%,
Прожекторы для сцены,1,30-50 штук (комплект),
Освещение техническое,-,LED рабочее освещение,
Эвакуационное освещение,1,На батареях,

ОПЕРАЦИОННАЯ ГРУППА: ЗВУКОВОЕ ОБОРУДОВАНИЕ
Устройство,Количество,Параметры,Статус
Основная звуковая система,1,8-10 кВт (мощность RMS),
Громкоговорители основные,6,2/3-полосные,
Сабвуфер,2,Для баса,
Мониторные системы,4,На сцене и для РПГ,
Кабели динамического типа,10,Длины 10-15м,
Микшер усилений,1,12-16 каналов,
Кросс-овер,1,Частотный разделитель,

ОПЕРАЦИОННАЯ ГРУППА: ИНФРАСТРУКТУРА
Elemento,Количество,Размер/Площадь,Статус
Палатки/навесы,2-3,На 20-30 человек каждая,
Сценическая конструкция,1,Высота мин 1,5-2,0м,
Туалеты переносные,3,Санитарные кабины,
Раздевалка для РПГ,1,Закрытое помещение,
Приватная зона участников,1,Комната отдыха,
Буфет/точка питания,1,На 72 человека,
Ограждение и указатели,1,По периметру площади,

РПГ-ГРУППА: ПЕРСОНАЛ И КОСТЮМЫ
Элемент,Количество,Описание,Статус
РПГ-мастер / сценарист,1,Координирует всю группу,
РПГ-актёры,8-10,Полная подготовка к ролям,
Полные костюмы,8,"Период - платья/доспехи/маски",
Временные татуировки,50,Для участников,
Маски,15,Разные для каждого персонажа,
Оружие поролоновое,10,Для безопасных боёв,
Реквизит для сцены,1,"Стол, стулья, подпорки",
Декорации,1,"Фон, предметы интерьера",

РПГ-ГРУППА: СПЕЦЭФФЕКТЫ
Элемент,Нужен ли,Параметры,Статус согласо с МЧС
Пиротехника,ДА/НЕТ,Если ДА - согласование обязательно,
Система дымовых эффектов,ДА/НЕТ,В соответствии с законодательством,
Лазерная установка,ДА/НЕТ,При наличии сертификата,
Световые эффекты,ДА,Встроены в основную систему,
Звуковые эффекты,ДА,Синхронизированы с видео,
Буллинг сигналы,НЕТ,Не допуск в черте города,

БЮДЖЕТ МЕРОПРИЯТИЯ
Раздел,Статья,Количество,Сумма,Примечание
МЕДИА,Видеооборудование,1 комплект,руб.,
МЕДИА,Фотооборудование,1 комплект,руб.,
МЕДИА,Аудиооборудование,1 комплект,руб.,
МЕДИА,Графика и визуальные эффекты,услуга,руб.,
МЕДИА,ИТОГО МЕДИА,,руб.,
ОПЕРАЦИИ,Координаторы и помощники,5 человек,руб.,
ОПЕРАЦИИ,Охрана и безопасность,6 человек,руб.,
ОПЕРАЦИИ,Генератор и электрораспределение,2 генератора,руб.,
ОПЕРАЦИИ,Звуковое оборудование,комплект,руб.,
ОПЕРАЦИИ,Освещение сцены,комплект,руб.,
ОПЕРАЦИИ,Инфраструктура (палатки туалеты),аренда,руб.,
ОПЕРАЦИИ,ИТОГО ОПЕРАЦИИ,,руб.,
РПГ,Оплата труда персонала,10 человек,руб.,
РПГ,Костюмы и реквизит,комплект,руб.,
РПГ,Спецэффекты и пиротехника,услуга,руб.,
РПГ,Страховка участников,полис,руб.,
РПГ,ИТОГО РПГ,,руб.,
,ИТОГО БЮДЖЕТ,,руб.,

ГРАФИК ПОДГОТОВКИ
Этап,За сколько дней,Дата,Действия,Ответственный,Статус
Утверждение,28 дней,14.11.2026,Утверждение концепции/контрактов,Генеральный координатор,
Закупки,21 дней,21.11.2026,Запуск закупок оборудования,Финансовый директор,
Первые тесты,14 дней,28.11.2026,Первые репетиции РПГ-группы,РПГ-мастер,
Финальные тесты,7 дней,05.12.2026,Проверка оборудования,Координаторы,
Согласование,7 дней,05.12.2026,МЧС полиция,Менеджер БO,
Доставка,2 дня,10.12.2026,Доставка на площадку,Логист,
Монтаж,1 день,11.12.2026,Установка оборудования,Техники,
Репетиция,1 день,11.12.2026,Полная генеральная репетиция,Генеральный координатор,
СОБЫТИЕ,0 дней,12.12.2026,Проведение мероприятия,ВСЕ,
Разбор,1 день,12.12.2026 вечер,Сбор оборудования и уборка,ВСЕ,

КЛЮЧЕВЫЕ КОНТАКТЫ
Роль,ФИО,Мобильный,Рации,Email
Генеральный координатор,,,+,
Видеооператор основной,,,+,
Видеооператор резервный,,,+,
Фотограф,,,+,
Звукорежиссёр,,,+,
Спец электро,,,+,
РПГ-мастер,,,+,
Менеджер безопасности,,,+,
Глава охраны,,,+,

ЭКСТРЕННЫЕ НОМЕРА
Служба,Номер,ФИО ответственного
МЧС,112,
Полиция (порядок),102,
Скорая помощь,103,
Водоканал (утечка),104,
Электроснабжающая компания,___,
